text,regex
47-199,[0-9][0-9][-][0-9][0-9][0-9]
01-332,[0-9][0-9][-][0-9][0-9][0-9]
48-858,[0-9][0-9][-][0-9][0-9][0-9]
36-059,[0-9][0-9][-][0-9][0-9][0-9]
75-388,[0-9][0-9][-][0-9][0-9][0-9]
16-196,[0-9][0-9][-][0-9][0-9][0-9]
52-111,[0-9][0-9][-][0-9][0-9][0-9]
61-240,[0-9][0-9][-][0-9][0-9][0-9]
90-111,[0-9][0-9][-][0-9][0-9][0-9]
86-563,[0-9][0-9][-][0-9][0-9][0-9]
77-046,[0-9][0-9][-][0-9][0-9][0-9]
67-825,[0-9][0-9][-][0-9][0-9][0-9]
53-894,[0-9][0-9][-][0-9][0-9][0-9]
21-814,[0-9][0-9][-][0-9][0-9][0-9]
71-988,[0-9][0-9][-][0-9][0-9][0-9]
07-949,[0-9][0-9][-][0-9][0-9][0-9]
77-437,[0-9][0-9][-][0-9][0-9][0-9]
93-062,[0-9][0-9][-][0-9][0-9][0-9]
39-430,[0-9][0-9][-][0-9][0-9][0-9]
19-859,[0-9][0-9][-][0-9][0-9][0-9]
89-494,[0-9][0-9][-][0-9][0-9][0-9]
59-091,[0-9][0-9][-][0-9][0-9][0-9]
27-017,[0-9][0-9][-][0-9][0-9][0-9]
35-608,[0-9][0-9][-][0-9][0-9][0-9]
55-556,[0-9][0-9][-][0-9][0-9][0-9]
33-130,[0-9][0-9][-][0-9][0-9][0-9]
14-046,[0-9][0-9][-][0-9][0-9][0-9]
69-767,[0-9][0-9][-][0-9][0-9][0-9]
58-988,[0-9][0-9][-][0-9][0-9][0-9]
29-985,[0-9][0-9][-][0-9][0-9][0-9]
27-264,[0-9][0-9][-][0-9][0-9][0-9]
64-503,[0-9][0-9][-][0-9][0-9][0-9]
11-576,[0-9][0-9][-][0-9][0-9][0-9]
33-971,[0-9][0-9][-][0-9][0-9][0-9]
19-879,[0-9][0-9][-][0-9][0-9][0-9]
30-989,[0-9][0-9][-][0-9][0-9][0-9]
77-982,[0-9][0-9][-][0-9][0-9][0-9]
97-866,[0-9][0-9][-][0-9][0-9][0-9]
40-509,[0-9][0-9][-][0-9][0-9][0-9]
91-994,[0-9][0-9][-][0-9][0-9][0-9]
00-627,[0-9][0-9][-][0-9][0-9][0-9]
77-472,[0-9][0-9][-][0-9][0-9][0-9]
41-238,[0-9][0-9][-][0-9][0-9][0-9]
59-677,[0-9][0-9][-][0-9][0-9][0-9]
76-637,[0-9][0-9][-][0-9][0-9][0-9]
32-609,[0-9][0-9][-][0-9][0-9][0-9]
07-398,[0-9][0-9][-][0-9][0-9][0-9]
90-191,[0-9][0-9][-][0-9][0-9][0-9]
39-899,[0-9][0-9][-][0-9][0-9][0-9]
40-980,[0-9][0-9][-][0-9][0-9][0-9]
95-627,[0-9][0-9][-][0-9][0-9][0-9]
11-248,[0-9][0-9][-][0-9][0-9][0-9]
70-144,[0-9][0-9][-][0-9][0-9][0-9]
50-984,[0-9][0-9][-][0-9][0-9][0-9]
02-336,[0-9][0-9][-][0-9][0-9][0-9]
73-789,[0-9][0-9][-][0-9][0-9][0-9]
02-047,[0-9][0-9][-][0-9][0-9][0-9]
32-144,[0-9][0-9][-][0-9][0-9][0-9]
88-928,[0-9][0-9][-][0-9][0-9][0-9]
79-536,[0-9][0-9][-][0-9][0-9][0-9]
35-849,[0-9][0-9][-][0-9][0-9][0-9]
28-049,[0-9][0-9][-][0-9][0-9][0-9]
09-218,[0-9][0-9][-][0-9][0-9][0-9]
81-076,[0-9][0-9][-][0-9][0-9][0-9]
07-113,[0-9][0-9][-][0-9][0-9][0-9]
65-728,[0-9][0-9][-][0-9][0-9][0-9]
21-368,[0-9][0-9][-][0-9][0-9][0-9]
36-396,[0-9][0-9][-][0-9][0-9][0-9]
68-657,[0-9][0-9][-][0-9][0-9][0-9]
83-983,[0-9][0-9][-][0-9][0-9][0-9]
96-512,[0-9][0-9][-][0-9][0-9][0-9]
11-244,[0-9][0-9][-][0-9][0-9][0-9]
41-099,[0-9][0-9][-][0-9][0-9][0-9]
79-749,[0-9][0-9][-][0-9][0-9][0-9]
03-661,[0-9][0-9][-][0-9][0-9][0-9]
13-530,[0-9][0-9][-][0-9][0-9][0-9]
64-721,[0-9][0-9][-][0-9][0-9][0-9]
25-933,[0-9][0-9][-][0-9][0-9][0-9]
94-678,[0-9][0-9][-][0-9][0-9][0-9]
57-231,[0-9][0-9][-][0-9][0-9][0-9]
05-364,[0-9][0-9][-][0-9][0-9][0-9]
66-319,[0-9][0-9][-][0-9][0-9][0-9]
35-070,[0-9][0-9][-][0-9][0-9][0-9]
98-076,[0-9][0-9][-][0-9][0-9][0-9]
26-276,[0-9][0-9][-][0-9][0-9][0-9]
72-213,[0-9][0-9][-][0-9][0-9][0-9]
64-459,[0-9][0-9][-][0-9][0-9][0-9]
09-950,[0-9][0-9][-][0-9][0-9][0-9]
35-646,[0-9][0-9][-][0-9][0-9][0-9]
65-824,[0-9][0-9][-][0-9][0-9][0-9]
97-868,[0-9][0-9][-][0-9][0-9][0-9]
47-468,[0-9][0-9][-][0-9][0-9][0-9]
10-034,[0-9][0-9][-][0-9][0-9][0-9]
80-632,[0-9][0-9][-][0-9][0-9][0-9]
38-432,[0-9][0-9][-][0-9][0-9][0-9]
73-631,[0-9][0-9][-][0-9][0-9][0-9]
35-389,[0-9][0-9][-][0-9][0-9][0-9]
17-067,[0-9][0-9][-][0-9][0-9][0-9]
32-042,[0-9][0-9][-][0-9][0-9][0-9]
05-453,[0-9][0-9][-][0-9][0-9][0-9]
23-709,[0-9][0-9][-][0-9][0-9][0-9]
26-509,[0-9][0-9][-][0-9][0-9][0-9]
32-938,[0-9][0-9][-][0-9][0-9][0-9]
13-187,[0-9][0-9][-][0-9][0-9][0-9]
18-345,[0-9][0-9][-][0-9][0-9][0-9]
63-694,[0-9][0-9][-][0-9][0-9][0-9]
63-744,[0-9][0-9][-][0-9][0-9][0-9]
39-825,[0-9][0-9][-][0-9][0-9][0-9]
26-370,[0-9][0-9][-][0-9][0-9][0-9]
60-013,[0-9][0-9][-][0-9][0-9][0-9]
91-909,[0-9][0-9][-][0-9][0-9][0-9]
43-272,[0-9][0-9][-][0-9][0-9][0-9]
32-771,[0-9][0-9][-][0-9][0-9][0-9]
73-024,[0-9][0-9][-][0-9][0-9][0-9]
65-264,[0-9][0-9][-][0-9][0-9][0-9]
69-922,[0-9][0-9][-][0-9][0-9][0-9]
00-065,[0-9][0-9][-][0-9][0-9][0-9]
25-346,[0-9][0-9][-][0-9][0-9][0-9]
66-665,[0-9][0-9][-][0-9][0-9][0-9]
86-122,[0-9][0-9][-][0-9][0-9][0-9]
64-666,[0-9][0-9][-][0-9][0-9][0-9]
26-282,[0-9][0-9][-][0-9][0-9][0-9]
53-099,[0-9][0-9][-][0-9][0-9][0-9]
20-679,[0-9][0-9][-][0-9][0-9][0-9]
84-541,[0-9][0-9][-][0-9][0-9][0-9]
65-531,[0-9][0-9][-][0-9][0-9][0-9]
26-591,[0-9][0-9][-][0-9][0-9][0-9]
00-673,[0-9][0-9][-][0-9][0-9][0-9]
95-141,[0-9][0-9][-][0-9][0-9][0-9]
47-128,[0-9][0-9][-][0-9][0-9][0-9]
94-179,[0-9][0-9][-][0-9][0-9][0-9]
52-014,[0-9][0-9][-][0-9][0-9][0-9]
78-106,[0-9][0-9][-][0-9][0-9][0-9]
58-638,[0-9][0-9][-][0-9][0-9][0-9]
98-466,[0-9][0-9][-][0-9][0-9][0-9]
15-285,[0-9][0-9][-][0-9][0-9][0-9]
60-404,[0-9][0-9][-][0-9][0-9][0-9]
95-389,[0-9][0-9][-][0-9][0-9][0-9]
59-287,[0-9][0-9][-][0-9][0-9][0-9]
00-107,[0-9][0-9][-][0-9][0-9][0-9]
83-626,[0-9][0-9][-][0-9][0-9][0-9]
08-734,[0-9][0-9][-][0-9][0-9][0-9]
49-561,[0-9][0-9][-][0-9][0-9][0-9]
45-944,[0-9][0-9][-][0-9][0-9][0-9]
43-290,[0-9][0-9][-][0-9][0-9][0-9]
02-888,[0-9][0-9][-][0-9][0-9][0-9]
49-417,[0-9][0-9][-][0-9][0-9][0-9]
88-539,[0-9][0-9][-][0-9][0-9][0-9]
63-020,[0-9][0-9][-][0-9][0-9][0-9]
68-782,[0-9][0-9][-][0-9][0-9][0-9]
90-768,[0-9][0-9][-][0-9][0-9][0-9]
65-699,[0-9][0-9][-][0-9][0-9][0-9]
25-751,[0-9][0-9][-][0-9][0-9][0-9]
15-052,[0-9][0-9][-][0-9][0-9][0-9]
36-153,[0-9][0-9][-][0-9][0-9][0-9]
70-025,[0-9][0-9][-][0-9][0-9][0-9]
67-346,[0-9][0-9][-][0-9][0-9][0-9]
97-808,[0-9][0-9][-][0-9][0-9][0-9]
06-253,[0-9][0-9][-][0-9][0-9][0-9]
92-443,[0-9][0-9][-][0-9][0-9][0-9]
40-600,[0-9][0-9][-][0-9][0-9][0-9]
66-955,[0-9][0-9][-][0-9][0-9][0-9]
80-109,[0-9][0-9][-][0-9][0-9][0-9]
98-993,[0-9][0-9][-][0-9][0-9][0-9]
48-590,[0-9][0-9][-][0-9][0-9][0-9]
41-917,[0-9][0-9][-][0-9][0-9][0-9]
69-488,[0-9][0-9][-][0-9][0-9][0-9]
62-890,[0-9][0-9][-][0-9][0-9][0-9]
88-227,[0-9][0-9][-][0-9][0-9][0-9]
37-562,[0-9][0-9][-][0-9][0-9][0-9]
51-801,[0-9][0-9][-][0-9][0-9][0-9]
46-187,[0-9][0-9][-][0-9][0-9][0-9]
69-125,[0-9][0-9][-][0-9][0-9][0-9]
26-003,[0-9][0-9][-][0-9][0-9][0-9]
66-409,[0-9][0-9][-][0-9][0-9][0-9]
45-896,[0-9][0-9][-][0-9][0-9][0-9]
74-480,[0-9][0-9][-][0-9][0-9][0-9]
74-449,[0-9][0-9][-][0-9][0-9][0-9]
57-973,[0-9][0-9][-][0-9][0-9][0-9]
98-963,[0-9][0-9][-][0-9][0-9][0-9]
81-689,[0-9][0-9][-][0-9][0-9][0-9]
70-321,[0-9][0-9][-][0-9][0-9][0-9]
23-090,[0-9][0-9][-][0-9][0-9][0-9]
48-963,[0-9][0-9][-][0-9][0-9][0-9]
40-439,[0-9][0-9][-][0-9][0-9][0-9]
71-538,[0-9][0-9][-][0-9][0-9][0-9]
95-376,[0-9][0-9][-][0-9][0-9][0-9]
81-290,[0-9][0-9][-][0-9][0-9][0-9]
10-389,[0-9][0-9][-][0-9][0-9][0-9]
17-384,[0-9][0-9][-][0-9][0-9][0-9]
25-751,[0-9][0-9][-][0-9][0-9][0-9]
92-256,[0-9][0-9][-][0-9][0-9][0-9]
